City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Buala,SB,-8.145,159.5921,81.41,84,100,7.49,light rain
259,Saint-Georges,GD,12.0564,-61.7485,83.88,74,40,16.11,scattered clouds
260,Yarim,YE,14.298,44.3779,44.85,22,0,3.67,clear sky
261,Cabo San Lucas,MX,22.8909,-109.9124,87.51,50,96,7.9,overcast clouds
262,Mount Gambier,AU,-37.8333,140.7667,51.71,76,90,8.05,overcast clouds
263,Provideniya,RU,64.3833,-173.3,6.91,78,90,31.32,overcast clouds
264,Karasjok,NO,69.4719,25.5112,5.11,100,76,3.06,broken clouds
265,Waipawa,NZ,-41.4122,175.5153,65.03,71,84,10.02,moderate rain
266,Linfen,CN,36.0889,111.5189,37.51,65,17,2.64,few clouds
267,Kuito,AO,-12.3833,16.9333,58.37,89,93,2.44,overcast clouds
268,Preobrazheniye,RU,42.9019,133.9064,35.76,57,0,5.48,clear sky
269,Grand Gaube,MU,-20.0064,57.6608,78.39,70,20,5.01,few clouds
270,Arkadelphia,US,34.1209,-93.0538,61.59,35,1,3.44,clear sky
271,Kushima,JP,31.4583,131.2333,47.12,82,1,7.74,clear sky
272,Nova Vicosa,BR,-17.8919,-39.3719,74.03,94,94,6.22,overcast clouds
273,Sola,VU,-13.8833,167.55,81.72,77,100,8.25,overcast clouds
274,Tucuman,AR,-26.8241,-65.2226,86.0,54,75,5.75,broken clouds
275,Reconquista,AR,-29.15,-59.65,95.09,23,0,8.77,clear sky
276,Sisimiut,GL,66.9395,-53.6735,19.04,60,98,8.57,overcast clouds
277,Sambava,MG,-14.2667,50.1667,74.82,80,99,8.52,light rain
278,Tigil,RU,57.8,158.6667,5.38,88,95,9.44,overcast clouds
279,Bilma,NE,18.6853,12.9164,63.91,13,25,7.63,scattered clouds
280,Tupiza,BO,-21.45,-65.7167,66.56,53,68,18.12,broken clouds
281,Bengkulu,ID,-3.8004,102.2655,74.68,91,59,4.56,broken clouds
282,Tuatapere,NZ,-46.1333,167.6833,52.83,94,100,3.38,overcast clouds
283,Gravdal,NO,68.1214,13.5031,24.48,67,86,7.87,overcast clouds
284,Boden,SE,65.8252,21.6886,-7.6,99,37,1.25,scattered clouds
285,Roebourne,AU,-20.7833,117.1333,87.93,39,17,3.89,few clouds
286,Brae,GB,60.3964,-1.353,44.51,84,100,30.62,overcast clouds
287,Khani,GE,41.9563,42.9566,54.97,52,69,6.76,broken clouds
288,Sidi Ali,DZ,36.0998,0.4206,55.51,65,84,16.6,broken clouds
289,Cayenne,GF,4.9333,-52.3333,77.09,85,90,1.99,overcast clouds
290,Castro,BR,-24.7911,-50.0119,68.94,59,20,3.29,few clouds
291,Mujiayingzi,CN,42.1167,118.7833,32.95,46,100,5.37,light snow
292,Dipalpur,PK,30.6709,73.6529,57.63,37,0,2.24,clear sky
293,Santiago De Cao,PE,-7.9589,-79.2392,66.33,82,40,11.5,scattered clouds
294,Pangnirtung,CA,66.1451,-65.7125,5.0,72,90,5.75,overcast clouds
295,Birjand,IR,32.8663,59.2211,34.27,34,0,4.61,clear sky
296,Papetoai,PF,-17.4961,-149.8729,81.99,71,33,16.87,scattered clouds
297,Vierzon,FR,47.2101,2.0625,38.48,92,15,7.14,few clouds
298,Phalaborwa,ZA,-23.943,31.1411,72.68,79,100,2.93,overcast clouds
